9/8/2021 1:37:17 p. m.	This log contains information about the import schema operation into project 'NewsDB' on computer 'LAPTOP-151NMHQA' by user 'GUNBAT'.
9/8/2021 1:37:18 p. m.	Import of database schema has started.
9/8/2021 1:37:22 p. m.	Gathering database credentials
9/8/2021 1:37:22 p. m.	Gathering database options
9/8/2021 1:37:22 p. m.	Gathering generic database scoped configuration option
9/8/2021 1:37:22 p. m.	Gathering users
9/8/2021 1:37:22 p. m.	Gathering roles
9/8/2021 1:37:22 p. m.	Gathering application roles
9/8/2021 1:37:22 p. m.	Gathering role memberships
9/8/2021 1:37:22 p. m.	Gathering filegroups
9/8/2021 1:37:22 p. m.	Gathering full-text catalogs
9/8/2021 1:37:22 p. m.	Gathering assemblies
9/8/2021 1:37:22 p. m.	Gathering certificates
9/8/2021 1:37:22 p. m.	Gathering asymmetric keys
9/8/2021 1:37:22 p. m.	Gathering symmetric keys
9/8/2021 1:37:22 p. m.	Gathering encrypted symmetric keys
9/8/2021 1:37:22 p. m.	Gathering schemas
9/8/2021 1:37:22 p. m.	Gathering XML schema collections
9/8/2021 1:37:22 p. m.	Gathering user-defined data types
9/8/2021 1:37:22 p. m.	Gathering user-defined types
9/8/2021 1:37:22 p. m.	Gathering table types
9/8/2021 1:37:22 p. m.	Gathering unique keys for table types
9/8/2021 1:37:22 p. m.	Gathering primary keys for table types
9/8/2021 1:37:22 p. m.	Gathering indexes for table types
9/8/2021 1:37:22 p. m.	Gathering check constraints for table types
9/8/2021 1:37:22 p. m.	Gathering default constraints for table types
9/8/2021 1:37:22 p. m.	Gathering partition functions
9/8/2021 1:37:22 p. m.	Gathering partition schemes
9/8/2021 1:37:22 p. m.	Gathering functions
9/8/2021 1:37:22 p. m.	Gathering encrypted functions
9/8/2021 1:37:22 p. m.	Gathering aggregates
9/8/2021 1:37:22 p. m.	Gathering procedures
9/8/2021 1:37:23 p. m.	Gathering encrypted procedures
9/8/2021 1:37:23 p. m.	Gathering tables
9/8/2021 1:37:23 p. m.	Gathering primary keys
9/8/2021 1:37:23 p. m.	Gathering unique constraints
9/8/2021 1:37:23 p. m.	Gathering foreign keys
9/8/2021 1:37:23 p. m.	Gathering default constraints
9/8/2021 1:37:23 p. m.	Gathering check constraints
9/8/2021 1:37:23 p. m.	Gathering views
9/8/2021 1:37:23 p. m.	Gathering encrypted views
9/8/2021 1:37:23 p. m.	Gathering indexes
9/8/2021 1:37:23 p. m.	Gathering statistics
9/8/2021 1:37:23 p. m.	Gathering full-text index stoplists
9/8/2021 1:37:23 p. m.	Gathering search property lists
9/8/2021 1:37:23 p. m.	Gathering search properties
9/8/2021 1:37:23 p. m.	Gathering full-text indexes
9/8/2021 1:37:23 p. m.	Gathering column store indexes
9/8/2021 1:37:23 p. m.	Gathering spatial indexes
9/8/2021 1:37:23 p. m.	Gathering XML indexes
9/8/2021 1:37:23 p. m.	Gathering Selective XML indexes
9/8/2021 1:37:23 p. m.	Gathering encrypted triggers
9/8/2021 1:37:23 p. m.	Gathering triggers
9/8/2021 1:37:23 p. m.	Gathering encrypted and clr ddl triggers
9/8/2021 1:37:23 p. m.	Gathering ddl triggers
9/8/2021 1:37:23 p. m.	Creating edge constraints
9/8/2021 1:37:23 p. m.	Gathering synonyms
9/8/2021 1:37:23 p. m.	Gathering defaults
9/8/2021 1:37:23 p. m.	Gathering data constraint uddt bindings
9/8/2021 1:37:23 p. m.	Gathering rules
9/8/2021 1:37:23 p. m.	Gathering data constraint uddt bindings
9/8/2021 1:37:23 p. m.	Gathering message types
9/8/2021 1:37:23 p. m.	Gathering queues
9/8/2021 1:37:23 p. m.	Gathering contracts
9/8/2021 1:37:23 p. m.	Gathering services
9/8/2021 1:37:23 p. m.	Gathering event notifications
9/8/2021 1:37:23 p. m.	Gathering remote service bindings
9/8/2021 1:37:23 p. m.	Gathering broker priorities
9/8/2021 1:37:23 p. m.	Gathering signatures
9/8/2021 1:37:23 p. m.	Gathering data compression options
9/8/2021 1:37:23 p. m.	Gathering sequence types
9/8/2021 1:37:23 p. m.	Gathering security policies
9/8/2021 1:37:23 p. m.	Gather column encryption keys
9/8/2021 1:37:23 p. m.	Gathering column master keys
9/8/2021 1:37:23 p. m.	Gathering external data sources
9/8/2021 1:37:23 p. m.	Gathering external file formats
9/8/2021 1:37:23 p. m.	Gathering external tables
9/8/2021 1:37:23 p. m.	Gathering extended properties
9/8/2021 1:37:23 p. m.	Gathering credentials
9/8/2021 1:37:23 p. m.	Gathering logins
9/8/2021 1:37:23 p. m.	Gathering server audits
9/8/2021 1:37:24 p. m.	Scanning project for duplicate elements
9/8/2021 1:37:24 p. m.	Finished duplicate element processing
9/8/2021 1:37:24 p. m.	Finished importing database.
9/8/2021 1:37:24 p. m.	A summary of the import was saved to the following location: C:\Users\GUNBAT\Desktop\LastPro\Api\NewsDB\Import Schema Logs\NewsDB_20210809053717.log
9/8/2021 1:37:24 p. m.	Click Finish to continue...
